id,name
11111111-1111-1111-1111-111111111111,Eggs
22222222-2222-2222-2222-222222222222,Cheese
33333333-3333-3333-3333-333333333333,Pancetta
44444444-4444-4444-4444-444444444444,Chicken
55555555-5555-5555-5555-555555555555,Tomato
66666666-6666-6666-6666-666666666666,Beef
77777777-7777-7777-7777-777777777777,Rice
88888888-8888-8888-8888-888888888888,Noodles
99999999-1111-1111-1111-111111111111,Spinach
99999999-2222-2222-2222-222222222222,Garlic
99999999-3333-3333-3333-333333333333,Onion
99999999-4444-4444-4444-444444444444,Milk
99999999-5555-5555-5555-555555555555,Butter
99999999-6666-6666-6666-666666666666,Flour
99999999-7777-7777-7777-777777777777,Carrot
99999999-8888-8888-8888-888888888888,Potato
99999999-9999-9999-9999-999999999999,Peas
88888888-1111-1111-1111-111111111111,Apple
88888888-2222-2222-2222-222222222222,Banana
88888888-3333-3333-3333-333333333333,Strawberry
88888888-4444-4444-4444-444444444444,Blueberry
88888888-5555-5555-5555-555555555555,Orange
88888888-6666-6666-6666-666666666666,Salmon
88888888-7777-7777-7777-777777777777,Tuna
88888888-8888-8888-8888-888888888889,Avocado
88888888-9999-9999-9999-999999999999,Chili Pepper
77777777-1111-1111-1111-111111111111,Garbanzo Beans
77777777-2222-2222-2222-222222222222,Black Beans
77777777-3333-3333-3333-333333333333,Corn
77777777-4444-4444-4444-444444444444,Red Pepper
77777777-5555-5555-5555-555555555555,Green Pepper
77777777-6666-6666-6666-666666666666,Parsley
77777777-7777-7777-7777-777777777778,Basil
77777777-8888-8888-8888-888888888889,Thyme
77777777-9999-9999-9999-999999999999,Oregano
30000000-0000-0000-0000-000000000001,Flour
30000000-0000-0000-0000-000000000002,Water
30000000-0000-0000-0000-000000000003,Salt
30000000-0000-0000-0000-000000000004,Yeast
30000000-0000-0000-0000-000000000005,Sourdough Starter
30000000-0000-0000-0000-000000000006,Rye Flour
30000000-0000-0000-0000-000000000007,Caraway Seeds
30000000-0000-0000-0000-000000000008,Olive Oil
30000000-0000-0000-0000-000000000009,Herbs
30000000-0000-0000-0000-000000000010,Butter
30000000-0000-0000-0000-000000000011,Eggs
30000000-0000-0000-0000-000000000012,Sugar
30000000-0000-0000-0000-000000000013,Milk
